"Code","Name","Value","ValueTypeName"
GlobalSearchIndexedDataConfig,GlobalSearchIndexedDataConfig,"{ 	""VwCampaignLog"": { IgnoredColumns: [""*""] }, 	""VwQueueItem"": { IgnoredColumns: [""*""] }, 	""VwProcessLib"": { IgnoredColumns: [""*""] }, 	""VwSysDcmLib"": { IgnoredColumns: [""*""] }, 	""SysTranslation"": { IgnoredColumns: [""*""] }, 	""SysProcessLog"": { IgnoredColumns: [""*""] }, 	""SysAdminUnit"": { IgnoredColumns: [""*""] }, 	""SysAdminOperation"": { IgnoredColumns: [""*""] }, 	""DuplicateRule"": { IgnoredColumns: [""*""] }, 	""Email"": { IgnoredColumns: [""*""] }, 	""EmailTemplate"": { IgnoredColumns: [""*""] }, 	""EmailTemplateFile"": { IgnoredColumns: [""*""] }, 	""DuplicatesRule"": { IgnoredColumns: [""*""] }, 	""ScoringModel"": { IgnoredColumns: [""*""] }, 	""SocialMessage"": { IgnoredColumns: [""*""] }, 	""BulkEmailSplit"": { IgnoredColumns: [""*""] }, 	""BulkEmailSplitFile"": { IgnoredColumns: [""*""] }, 	""Lookup"": { IgnoredColumns: [""*""] }, 	""SiteEventType"": { IgnoredColumns: [""*""] }, 	""SiteEventTypeFile"": { IgnoredColumns: [""*""] }, 	""PaymentRule"": { IgnoredColumns: [""*""] }, 	""PaymentRuleFile"": { IgnoredColumns: [""*""] }, 	""CampaignPlanner"": { IgnoredColumns: [""*""] }, 	""CampaignPlannerFile"": { IgnoredColumns: [""*""] }, 	""VwSysProcessLog"": { IgnoredColumns: [""*""] }, 	""SysPrcHistoryLog"": { IgnoredColumns: [""*""] }, 	""SysSettings"": { IgnoredColumns: [""*""] }, 	""Contact"": { IgnoredColumns: [""dear"", ""salutationtype"", ""gender"", ""twitterafda"", ""facebookafda"", ""linkedinafda"", ""surname"", ""givenname"", ""middlename"", ""owner""] }, 	""Account"": { IgnoredColumns: [""owner""] }, 	""KnowledgeBase"": { IgnoredColumns: [""notes"", ""code"", ""keywords""] }, 	""Case"": { IgnoredColumns: [""notes"", ""priority"", ""origin"", ""closurecode"", ""satisfactionlevel"", ""category"", ""parentcase"", ""processingtimeunit"", ""servicecategory"", ""solvedonsupportlevel"", ""supportlevel"", ""holder"", ""problem"", ""change""] }, 	""ServiceItem"": { IgnoredColumns: [""reactiontime"", ""solutiontime""] }, 	""Problem"": { IgnoredColumns: [""author"", ""type"", ""priority"", ""status"", ""change""] }, 	""Release"": { IgnoredColumns: [""status"", ""type"", ""priority""] }, 	""ServicePact"": { IgnoredColumns: [""status"", ""type"", ""serviceprovider"", ""serviceprovidercontact"", ""calendar"", ""supportlevel""] }, 	""Change"": { IgnoredColumns: [""author"", ""parentchange"", ""source"", ""purpose"", ""category"", ""priority"", ""status"", ""release""] }, 	""ConfItem"": { IgnoredColumns: [""status"", ""parentconfitem"", ""category"", ""country"", ""region"", ""city"", ""street"", ""address""] }, 	""GeneratedWebForm"": { IgnoredColumns: [""body"", ""state"", ""owner"", ""type""] }, 	""Call"": { IgnoredColumns: [""direction"", ""result"", ""activity"", ""lead"", ""order"", ""opportunity"", ""case""] }, 	""Activity"": { IgnoredColumns: [""priority"", ""author"", ""timezone"", ""color"", ""allowedresult"", ""messagetype"", ""mailhash"", ""globalactivityid"", ""activityconnection"", ""organizer"", ""calldirection"", ""useremailaddress"", ""location"", ""queueitem"", ""body""] }, 	""Order"": { IgnoredColumns: [""currency"", ""sourceorder"", ""paymenttype"", ""receivername"", ""comment"", ""contactnumber""] }, 	""Invoice"": { IgnoredColumns: [""paymentstatus"", ""supplierbillinginfo"", ""customerbillinginfo"", ""currency""] }, 	""Product"": { IgnoredColumns: [""owner"", ""unit"", ""currency"", ""type"", ""tax""] }, 	""Opportunity"": { IgnoredColumns: [""type"", ""closereason"", ""category"", ""responsibledepartment"", ""weaknesses"", ""strength"", ""winner"", ""description"", ""leadtype""] }, 	""Contract"": { IgnoredColumns: [""state"", ""parent"", ""ourcompany"", ""currency""] }, 	""Lead"": { IgnoredColumns: [""status"", ""industry"", ""annualrevenue"", ""addresstype"", ""leadtype"", ""leadtypestatus"", ""accountcategory"", ""accountownership"", ""department"", ""gender"", ""dear"", ""owner"", ""salesowner"", ""opportunitydepartment"", ""saletype"", ""countrystr"", ""regionstr"", ""citystr"", ""bpmhref"", ""bpmref""] }, 	""MktgActivity"": { IgnoredColumns: [""channel"", ""status"", ""owner"", ""currency"", ""campaignplanner""] }, 	""Event"": { IgnoredColumns: [""type"", ""owner"", ""status"", ""goal"", ""territory"", ""industry"", ""actualresponse"", ""actualizestatus"", ""segmentsstatus"", ""campaign""] }, 	""Campaign"": { IgnoredColumns: [""campaignstatus"", ""segmentsstatus"", ""targetdescription"", ""owner"", ""utmcampaign"", ""type""] }, 	""BulkEmail"": { IgnoredColumns: [""owner"", ""type"", ""status"", ""segmentsstatus"", ""utmsource"", ""utmmedium"", ""utmcampaign"", ""utmterm"", ""utmcontent"", ""domains"", ""category"", ""splittest"", ""launchoption"", ""templateconfig""] }, 	""Queue"": { IgnoredColumns: [""entityschemacaption"", ""processschemacaption"", ""filterdata"", ""filtereditdata"", ""queueentityschema"", ""businessprocessschema""] }, 	""Document"": { IgnoredColumns: [""state""] }, 	""Bonus"": { IgnoredColumns: [""currency""] }, 	""*"": { IgnoredColumns: [""modifiedby"", ""createdby"", ""lockedby"", ""facebookid"", ""twitterid"", ""_headerproperties"", ""_durationinmnutesandhours"", ""_erroronsend"", ""_emailsendstatus"", ""formfields"", ""entitydefaultvalues"", ""_solutiontimeunit"", ""_reactiontimeunit"", ""_pricelist"", ""_gpse"", ""_gpsn"", ""_nonactualreason"", ""_externalcommunicationtype"", ""_socialmediaid"", ""_communicationtype"", ""_addresstype"", ""_searchNumber"", ""_templateBody"", ""^campaign\\.schemadata$""] } }",MaxSizeText
GlobalSearchIndexingApiUrl,Global search indexing api address,"",MediumText
GlobalSearchShouldMatchPercent,Match threshold for displaying in search results (percent),"",Integer
GlobalSearchUrl,Global search url address,"",ShortText
GoogleAnalyticsTrackingDomains,Значение по умолчанию поля Список доменов в Email,www.example.com,MediumText
GoogleCalendarLastSynchronization,Date of last synchronization with Google Calendar,"",DateTime
GoogleCalendarLastSynchronizationEnd,Completion date of last synchronization with Google Calendar,"",DateTime
GoogleCalendarSynchInterval,Interval for periodic synchronization with Google Calendars,"",Integer
GoogleConsumerKey,Google services access key,"",ShortText
GoogleConsumerSecret,Google secret access key,"",ShortText
GoogleContactGroup,Contacts folder for synchronization with Google,"",Lookup
GoogleContactLastSynchronization,Date of last synchronization with Google Contacts,"",DateTime
GoogleContactLastSynchronizationEnd,Completion date of last synchronization with Google Contacts,"",DateTime
GoogleContactSynchInterval,Interval for periodic synchronization with Google Contacts,"",Integer
GoogleContactType,Type of imported Google contact,"",Lookup
GoogleMapsApiKey,Google Maps access key,cvfmjngfbkjcgfvjuhcfxtgfew5r,MediumText
GoogleRegistrationPage,Application registration page in Google,https://code.google.com/apis/console/,ShortText
GoogleTagManagerScript,Google Tag Manager script,"",MaxSizeText
GrantCasePermissionsForPortalOrganization,Раздавать права на обращение организации портального пользователя,"",Boolean
HasAccountMiniPageAddMode,Enable account mini page add mode,"",Boolean
HasActivityMiniPageAddMode,Enable activity mini page add mode,"",Boolean
HasContactMiniPageAddMode,Enable contact mini page add mode,"",Boolean
HasEmployeeMiniPageAddMode,Enable employee mini page add mode,"",Boolean
HasLeadMiniPageAddMode,Использовать миникарточку добавления лида,"",Boolean
HasOpportunityMiniPageAddMode,Использовать миникарточку добавления продажи,"",Boolean
HasPartnershipMiniPageAddMode,Использовать миникарточку добавления партнерства,"",Boolean
HeaderLogoImage,Upper panel logo,"",Binary
HostingDataCollectionScriptUrl,Url скрипта сбора данных по хостингу,https://files.cloudbpm.ru/Delivery/js/track-cookies.js,LongText
IconServiceCatalogLevel,Icon for the default group,"",Binary
IconServiceItem,Icon for the default service,"",Binary
IdentityServerClientId,Идентификатор стороннего приложения,"",ShortText
IdentityServerClientSecret,Секретный код стороннего приложения,,SecureText
IdentityServerUrl,Адрес сервера аутентификации,"",Text
IgnoreExchangeSSLWarnings,Ignore invalid certificates from Exchange server,"",Boolean
IgnorePictureAspectRatio,Ignore picture aspect ratio for word report,"",Boolean
ImageCaseNotFound,Логотип не найдено обращение,"",Binary
ImageRaitingAlredyExist,Логотип оценка уже выставлена,"",Binary
ImageRaitingNotFound,Логотип не найдено значение оценки,"",Binary
ImageThanksForRaiting,Логотип спасибо за оценку,"",Binary
ImportLdapUsersAutomaticaly,Import LDAP users automatically ,"",Boolean
ImproveEmailDef,Email for product feedback,info@omnichannel.ru,Text
InactiveUserDeactivationIntervalInDay,Интервал деактивации неактивного пользователя (в днях),"",Integer
IncidentManagentAutoStart,Автоматический запуск процесса управления инцидентами,"",Boolean
IncidentRegistrationFromEmailAutoStart,"Автоматический запуск процесса ""Регистрация инцидента по входящему email""","",Boolean
IncomingCallRingtone,Incoming call ringtone,"",Binary
InsertQueueItemTopValue,Количество одновремено добавляемых записей в элементы очереди,"",Integer
InsightMasterLogin,Login for Insight requests,,ShortText
InsightMasterPassword,Password for Insight requests,,SecureText
InsightProjectSyncPeriod,Insight project synchronization period (in minutes),,Integer
InsightServerAddress,Insight server address,"",LongText
InternalNumberLength,Number of digits in internal numbers,"",Integer
InternalNumberLength,Number of digits in internal numbers,"",Integer
IntervalInMinutesForFindReminding,Interval in minutes to search for reminders,"",Integer
IntroPageWidgetUrl,Url for widget on intro page,"",Text
InvoiceCodeMask,Маска номера счета,INV-{0},LongText
InvoiceLastNumber,Текущий номер счета,"",Integer
InvoicePaymentStatusDef,Состояние оплаты счета по умолчанию,"",Lookup
InvoiceVisaEmailTemplate,Шаблон Email для отправки информации о визе счета,"",Lookup
InvoiceVisaProcess,Процесс визирования счета,"",Lookup
IsCtiPanelMenuItemVisible,Display CTI in communication panel,"",Boolean
IsCtiPanelMenuItemVisible,Display CTI in communication panel,"",Boolean
IsDebug,Debug mode,"",Boolean
jQueryFileName,jQuery file name,jQuery-3.5.1,ShortText
JQueryLibrariesUrl,Url библиотеки jquery,https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js,LongText
JunkCaseDefaultStatus,Состояние нежелательных обращений по умолчанию,"",Lookup
KnowledgeBaseCodeMask,Knowledge base article number mask,{0},Text
KnowledgeBaseCodeMask,Knowledge base article number mask,{0},Text
KnowledgeBaseImage,Knowledge base link - Tile view,"",Binary
KnowledgeBaseLastNumber,Current number of knowledge base article,"",Integer
KnowledgeBaseLastNumber,Current number of knowledge base article,"",Integer
LastAccountDuplicatesSearch,Date of last duplicates search by accounts,"",DateTime
LastActualWorkEstimation,Last calculation date of actual project work hours,"",DateTime
LastAgeActualizationDate,Date of the last update of the contact ages,"",Date
LastContactDuplicatesSearch,Date of last duplicates search by contacts,"",DateTime
LDAPAllowLicenseDistributionDuringLDAPSync,Grant licenses during LDAP synchronization,"",Boolean
LDAPAuthType,LDAP authentication type,"",Lookup
LDAPEntryMaxModifiedOn,Maximum modification date of LDAP entry,"",DateTime
LDAPEntryModifiedOnAttribute,Name of attribute containing LDAP entry modification date,whenChanged,ShortText
LDAPGroupIdentityAttribute,Name of attribute to identify LDAP group,objectSid,ShortText
LDAPGroupNameAttribute,Name of attribute containing LDAP group name,cn,ShortText
LDAPGroupsEntry,"LDAP entry, which contains list of LDAP groups","",ShortText
LDAPGroupsFilter,Condition to form list of LDAP groups,(&(objectClass=group)(!(userAccountControl:1.2.840.113556.1.4.803:=2))),ShortText
LDAPKeyDistributionCenter,Key Distribution Center,"",Text
LDAPLogNotificationSender,LDAP log notification sender,"",Lookup
LdapParallelOperationsBatchSize,LDAP parallel operations batch size,"",Integer
LDAPServer,LDAP server name or IP,"",ShortText
LDAPServerLogin,LDAP server user login,"",ShortText
LDAPServerPassword,LDAP server user password,bYeJ6pe732RZA9OFCTSKIxO5K1NYTmmSonWwFRAP4q1pEBN2mb78S3CCeP7AUcQnM90AG6zzo+NPOR34urtF7Q==,SecureText
LDAPSynchInterval,"LDAP synchronization interval, hours","",Integer
LDAPSynchronizeOnlyGroups,Synchronize only LDAP groups,"",Boolean
LdapSyncRetryCountOnFailure,The count of attempts to establish an LDAP connection when an error occurs,"",Integer
LdapSyncRetryDelay,Delay between repeated attempts to establish a connection to LDAP (in milliseconds).,"",Integer
LDAPUserCompanyAttribute,Name of attribute containing LDAP current employment,company,MediumText
LDAPUserEmailAttribute,Name of attribute containing LDAP user email,mail,MediumText
LDAPUserFullNameAttribute,Name of attribute containing LDAP user full name,cn,ShortText
LDAPUserIdentityAttribute,Name of attribute to identify LDAP user,objectSid,ShortText
LDAPUserJobTitleAttribute,Name of attribute containing LDAP user job title,title,MediumText
LdapUserLicPackages,License packages for LDAP user,,Text
LDAPUserLoginAttribute,Name of attribute containing LDAP user login,sAMAccountName,ShortText
LDAPUserPhoneAttribute,Name of attribute containing LDAP user phone number,homePhone,MediumText
LDAPUsersEntry,"LDAP entry, which contains list of LDAP users","",ShortText
LDAPUsersFilter,Condition to form list of LDAP users,(&(objectClass=user)(objectClass=person)(!(objectClass=computer))(!(isDeleted=TRUE))),ShortText
LDAPUsersInGroupFilter,Condition to form list of LDAP users in group,(memberOf=[#LDAPGroupDN#]),ShortText
LDAPUseSecureConnection,Enable LDAP over SSL,"",Boolean
LeadGenRecipientsOfNotifications,Recipients of notifications for lead generation errors from social networks,"",Lookup
LeadManagementProcess,Процесс управления лидом,"",Lookup
LinkExpiryPeriod,"Registration links expiration term, days","",Integer
LMSUrl,LMS address,https://bpm-soft.ru/,MediumText
LMSUrl,LMS address,https://bpm-soft.ru/,MediumText
LoginAttemptBeforeWarningCount,Quantity of login attempts for warning message,"",Integer
LoginAttemptCount,Number of logon attempts,"",Integer
LoginPageCommunicationBlockCaption,Caption for communication options block on login page,Техническая поддержка,ShortText
LoginPageLinksBlockCaption,Caption for useful links block on login page,Важные ссылки,ShortText
LoginPageWidgetUrl,Url for widget on login page,"",Text
LoginRegistrationEmailTemplate,Template for registration confirmation email,"",Lookup
LoginRegistrationMailboxSettings,Mailbox for sending registration confirmation letter,"",Lookup
LoginReservationPeriod,Срок резерва логина удаленного пользователя (в днях),"",Integer
LogoImage,Logo on login page,"",Binary
MailboxSyncInterval,Mailbox synchronization interval,"",Integer
MailingProvider,Провайдер рассылок,"",Lookup
MailingStatisticUpdatePeriod,Период (дней) обновления статистики по рассылкам.,"",Integer
MailoutsWarningThreshold,"Отправленные email-письма - условие предупреждения, %","",Integer
MailReSynchronizationFrequency,"","",Integer
Maintainer,Publisher,Customer,MediumText
mandrillApiKey,API-ключ для сервиса Email-рассылок,"",MediumText
MandrillMailingDelayInSeconds,"Время задержки перед началом отправки рассылки, секунд","",Integer
MandrillShedulerTimeStep,"Интервал проверка наличия запущенных Email-рассылок, минут","",Integer
MandrillStatisticUpdatePeriodDays,Период (дней) обновления статистики по рассылкам,"",Integer
MandrillWebHookProcessingPackageCount,Количество пачек откликов для разбора (агрегированная статистика),"",Integer
MandrillWebHooksSyncProcessInterval,"Интервал выполнения синхронизации webhooks, минут","",Integer
MarketingDashboardPrefix,MarketingDashboardPrefix,Marketing: ,Text
MarketingDashboardsWithPrefix,MarketingDashboardsWithPrefix,"'A05A7FA9-87BB-4F95-A8E1-E9FFDD689DBB','15F50549-EC9D-46AB-9411-87F73AB5C36F','95625DA6-3CB7-4098-A8DA-EA7D3D0D54C0','6DB925F8-950A-40FD-BA91-A4168D4476D8'",Text
MarketingVideoUrl,Ссылка на видео для marketing,"",ShortText
MassStageChangingMaxLeadsCount,Максимальное количество лидов при массовом изменении стадии,"",Integer
MaxCloseQueueProgressRecordsCount,Максимальное количество записей в работе для закрытой очереди,"",Integer
MaxDayTransitionCount,"Максимальное значение параметра ""Перейти через, дней""","",Integer
MaxDegreeOfParallelismWhileProcessingLdapGroups,Maximum degree of parallelism while processing LDAP groups,"",Integer
MaxDegreeOfParallelismWhileProcessingLdapUsers,Maximum degree of parallelism for LDAP users in each LDAP group,"",Integer
MaxEmailSendDateForCaseReg,"Максимальный срок давности письма для регистрации обращения, дней","",Integer
MaxFileSize,Attachment max size,"",Integer
MaxGroupSysWorkplaceIconSize,Maximum size of section group icon to upload,"",Integer
MaxImportExcelRecordCount,Maximum number of records to import from Excel,"",Integer
MaximumQueueItemsInQueue,Максимальное количество необработанных элементов в очереди,"",Integer
MaxLevelServiceCatalogGroup,Maximum nesting level of the service catalog,"",Integer
MaxMandrillStatisticUpdatePeriodMinutes,Максимальный интервал (минут) обновления статистики по рассылкам,"",Integer
MaxNumberOfProcessesForPlanning,Maximum number of business processes for planning,"",Integer
MaxPackageSchemaDataRowsCount,Maximum quantity of data strings to be bound to package,"",Integer
MaxPasswordAge,"Password validity term, days","",Integer
MaxProcessLoopCount,Maximum number of process item repetitions,"",Integer
MaxProcessLoopCount,Maximum number of process item repetitions,"",Integer
MaxRecipientsForGroupingStrategy,MaxRecipientsForGroupingStrategy,"",Integer
MaxWorkspaceCount,Maximum number of user workspaces,"",Integer
MenuLogoImage,Логотип в главном меню,"",Binary
MessagesNumberEverySearchIteration,Maximum number of feed messages during first load,"",Integer
MinMandrillStatisticUpdatePeriodMinutes,Минимальный интервал (минут) обновления статистики по рассылкам,"",Integer
MinPasswordLength,Password complexity: Minimum length,"",Integer
MinPasswordLowercaseCharCount,Password complexity: Minimum quantity of lower case characters,"",Integer
MinPasswordNumericCharCount,Password complexity: Minimum quantity of digits,"",Integer
MinPasswordSpecialCharCount,Password complexity: Minimum quantity of special characters,"",Integer
MinPasswordUppercaseCharCount,Password complexity: Minimum quantity of upper case characters,"",Integer
MLBatchPredictionChunkSize,ML Batch prediction chunk size,"",Integer
MLLicNotifications,Machine learning analytics notification sending,"",Boolean
MLLicServiceURL,URL of the machine learning license service,"",MediumText
MLModelBatchPredictionPeriodMinutes,Periodicity of batch prediction job,"",Integer
MlModelEventsNotificationGroup,ML model events notification group,"",Lookup
MLModelTrainingAutoRefreshSeconds,Periodicity of training status auto refresh in ML model page,"",Integer
MLModelTrainingPeriodMinutes,Periodicity of machine learning model training job,"",Integer
MLPredictionResultsLifeDays,Life period for prediction results (days),"",Integer
MLRecommendationChunkSize,ML Recommendation chunk size,"",Integer
MLSegmentationLLMURL,Address of the LLM request in segmentation,"",MediumText
MLSegmentsNamesFormingTaskDescription,Segments names forming task description,"",Text
MLServiceAPIKey,API-key of the machine learning service,"",ShortText
MLTrainingChunkSize,ML training chunk size,"",Integer
MLTrainingMaxRecordsCount,Default maximum number of records for ML training,"",Integer
MLTrainingMinimumRecordsCount,Default minimum number of records for ML training,"",Integer
MobileAppCheckUpdatePeriod,Update checks frequency,"",Integer
MobileApplicationMode,Mobile application operation mode,"",Lookup
MobileAppUsageStatisticsEmail,Email for sending mobile application usage statistics,support@omnichannel.ru,ShortText
MobileAppUsageStatisticsStorePeriod,Expiration term of storing statistics about mobile application usage on device,"",Integer
MobileDataSyncFrequency,"Background data synchronization frequency, minutes","",Integer
MobileDefaultCaseOrigin,Происхождение обращения из мобильного приложения по умолчанию,"",Lookup
MobileEmailForPermissionRequests,Email for sending permission requests,"",MediumText
MobileExtendedAuthenticationUrl,Page for advanced authentication in mobile application,"",LongText
MobileLogoImage,Mobile application logo,"",Binary
MobileShowMenuOnApplicationStart,Display menu of the selected section when starting mobile app,"",Boolean
MobileTrackLocationFrequency,"Track device location frequency, minutes","",Integer
MobileUseSSO,Use SSO in the mobile app,"",Boolean
NewAppCodePrefix,Prefix for new application code,App,ShortText
NoteworthyEventNotificationPeriod,"Noteworthy event notification period, days","",Integer
NoteworthyPeriodForOpportunityParticipants,"Период уведомления о знаменательных событиях участников продажи, месяцев","",Integer
NotificationsExpirationTerm,Notification storage period (days),"",Integer
NotificatonJobInterval,Notifications interval,"",Integer
NotifyMobileUserAboutAppUpdate,Notify user about mobile app updates,"",Boolean
NumberOfPackagesForActualizingAudienceOfBulkEmail,Количество пачек откликов для разбора (отклики получателей),"",Integer
NumberOfProcessedRecords,Number of processed records,"",Integer
OAuth20IdentityServerClientId,Client id for OAuth 2.0 integrations,,ShortText
OAuth20IdentityServerClientSecret,Client secret for OAuth 2.0 integrations,,SecureText
OAuth20IdentityServerUrl,Authorization server Url for OAuth 2.0 integrations,,Text
OData4PageSize,"","",Integer
ODataFilterTreeMaxNodeCount,"","",Integer
OIDCprovider,OIDC провайдер,OIDC,ShortText
OmniChatNotificationSound,Omni chat notification sound,"",Binary
OmniChatOperatorAcceptChatTimeout,Omni chat operator accept chat timeout,"",Integer
OpenIDEmailClaimType,Тип OpenID утверждения 'email',http://schemas.xmlsoap.org/ws/2005/05/identity/claims/emailaddress,MediumText
OpenIDIdentityServerClientId,Client id for OpenID authentication,,ShortText
OpenIDIdentityServerClientSecret,Client secret for OpenID authentication,,SecureText
OpenIDIdentityServerUrl,Authorization server url for OpenID authentication,,Text
OpenIDNameClaimType,Type for OpenID 'name' claim,name,MediumText
OperatorSingleWindowSocialChannel,Канал для отображения в Едином окне оператора,"",Lookup
OpportunityManagementProcess,Процесс корпоративных продаж,"",Lookup
OrderCodeMask,Маска номера заказа,ORD-{0},LongText
OrderDeliveryStatusDef,Состояние поставки заказа,"",Lookup
OrderLastNumber,Текущий номер заказа,"",Integer
OrderPassportTemplateDef,Шаблон графика поставок и оплат по умолчанию,"",Lookup
OrderPaymentStatusDef,Состояние оплаты заказа,"",Lookup
OrderStatusDef,Состояние заказа,"",Lookup
OrderVisaEmailTemplate,Шаблон Email для отправки информации о визе заказа,"",Lookup
OrderVisaProcess,Процесс визирования заказа,"",Lookup
PackageJson,Package Json for Angular module,"{   ""name"": ""angular"",   ""version"": ""0.0.0"",   ""license"": ""MIT"",   ""scripts"": {         ""ng"": ""nx"",         ""nx"": ""nx""     },   ""private"": true,   ""dependencies"": {     ""@angular/animations"": ""~18.2.0"",     ""@angular/material"": ""~18.2.0"",     ""@angular/common"": ""~18.2.0"",     ""@angular/compiler"": ""~18.2.0"",     ""@angular/core"": ""~18.2.0"",     ""@angular/forms"": ""~18.2.0"",     ""@angular/platform-browser"": ""~18.2.0"",     ""@angular/platform-browser-dynamic"": ""~18.2.0"",     ""@angular/router"": ""~18.2.0"",     ""@nx/angular"": ""19.6.0"",     ""broadcast-channel"": ""^7.0.0"",     ""@ngx-translate/core"": ""^16.0.3"",     ""class-transformer"": ""^0.5.1"",     ""rxjs"": ""~7.8.0"",     ""tslib"": ""^2.3.0"",     ""zone.js"": ""~0.14.3""   },   ""devDependencies"": {     ""@angular-devkit/build-angular"": ""~18.2.0"",     ""@angular-devkit/core"": ""~18.2.0"",     ""@angular-devkit/schematics"": ""~18.2.0"",     ""@angular-eslint/eslint-plugin"": ""^18.0.1"",     ""@angular-eslint/eslint-plugin-template"": ""^18.0.1"",     ""@angular-eslint/template-parser"": ""^18.0.1"",     ""@angular/cli"": ""~18.2.0"",     ""@angular/compiler-cli"": ""~18.2.0"",     ""@angular/language-service"": ""~18.2.0"",     ""@nx/eslint"": ""19.6.0"",     ""@nx/eslint-plugin"": ""19.6.0"",     ""@nx/jest"": ""19.6.0"",     ""@nx/js"": ""19.6.0"",     ""@nx/workspace"": ""19.6.0"",     ""@schematics/angular"": ""~18.2.0"",     ""@swc-node/register"": ""~1.9.1"",     ""@swc/core"": ""~1.5.7"",     ""@swc/helpers"": ""~0.5.11"",     ""@types/jest"": ""^29.5.12"",     ""@types/node"": ""18.16.9"",     ""@typescript-eslint/eslint-plugin"": ""^7.16.0"",     ""@typescript-eslint/parser"": ""^7.16.0"",     ""@typescript-eslint/utils"": ""^7.16.0"",     ""eslint"": ""~8.57.0"",     ""eslint-config-prettier"": ""^9.0.0"",     ""jest"": ""^29.7.0"",     ""jest-environment-jsdom"": ""^29.7.0"",     ""jest-preset-angular"": ""~14.1.0"",     ""nx"": ""19.6.0"",     ""prettier"": ""^2.6.2"",     ""ts-jest"": ""^29.1.0"",     ""ts-node"": ""10.9.1"",     ""typescript"": ""~5.5.2""   } }",MaxSizeText
ParentAccountRelationType,"Connection type - ""Parent account""","",Lookup
PartnershipDueDate,Дата завершения партнерства,"",Date
PasswordChangeReminding,"Reminder about password change, days","",Integer
PasswordHistoryRecordCount,Quantity of analyzed passwords,"",Integer
PeriodActualizeBulkEmailRecipients,"Как часто актуализировать отклики в рассылках, ч","",Integer
PeriodStartSendSMS,Period for sending text messages (SMS),"0/30 * * * * ?",ShortText
PeriodStartSendSMSMin,"Period for sending text messages (SMS), minutes","",Integer
PharmaPackageUrl,Url-адрес хранилища пакета Pharma,"",Text
PortalCaseOriginDef,Происхождение обращения на портале по умолчанию,"",Lookup
PortalInvitationEmailTemplate,SSP invite template,"",Lookup
PortalRecoveryPasswordEmailTemplate,Password reset email template for portal user,"",Lookup
PortalRegistrationEmailTemplate,Confirmation email template for portal user registration,"",Lookup
PortalSiteUrl,Portal hostname,"",MediumText
PreparingToSendTimeoutPeriod,"Допустимое время пребывания рассылки в состоянии ""Готовится к отправке"" (минуты)","",Integer
PreventDuplicatesSending,Предотвращать отправку писем получателям с одинаковым email адресом.,"",Boolean
PriceWithTaxes,Price includes taxes,"",Boolean
PrimaryCommunicationSelection,Выбор основного средства связи контакта,"",Boolean
PrimaryCulture,Культура по умолчанию,"",Lookup
PrimaryCulture,Культура по умолчанию,"",Lookup
PrimaryCurrency,Base currency,"",Lookup
ProblemCodeMask,Маска номера проблемы,PR_{0},MediumText
ProblemLastNumber,Текущий номер проблемы,"",Integer
ProblemPriorityDef,Приоритет проблемы по умолчанию,"",Lookup
ProblemStatusDef,Состояние проблемы по умолчанию,"",Lookup
ProcessLogArchiveDataExpirationTerm,Archive data expiration term (days),"",Integer
ProcessLogArchivingPeriod,Process log archiving period (days),"",Integer
ProcessLogArchivingRecordsCount,SysProcessLog archiving records count,"",Integer
ProcessMaintenanceJobFrequencyMinutes,Frequency of running operations for process log maintenance (minutes),"",Integer
ProcessMaintenanceJobTimeout,Maximum time for the process log maintenance execution (minutes),"",Integer
ProcessTempDataCleanupJobEnabled,Включить периодическую очистку таблиц временных данных БП,,Boolean
ProcessTempDataCleanupJobFrequencyMinutes,Частота очистки таблиц временных данных БП в минутах,"",Integer
ProductEdition,Product version,SalesEnterprise_Marketing_ServiceEnterprise,MediumText
ProductName,Product name,BPMSoft,MediumText
ProjectStateDef,Состояние проекта по умолчанию,"",Lookup
QueryJoinRightLevel,Joined objects administering,"",Integer
QueryJoinRightLevel,Joined objects administering,"",Integer
QueuesUpdateInterval,Интервал обновления очередей единого окна,"",Integer
ReadDataChunkSize,Read data chunk size,"",Integer
RecentEntityCount,Maximum number of last used objects,"",Integer
RedirectUnsuscribersTo,Сайт для перенаправления отписавшихся,"",LongText
ReleaseCodeMask,Маска номера релиза,{0},MediumText
ReleaseLastNumber,Текущий номер релиза,"",Integer
ReleasePriorityDef,Значения приоритета релиза по умолчанию,"",Lookup
ReleaseStatusDef,Состояние релиза по умолчанию,"",Lookup
ReleaseTypeDef,Тип релиза по умолчанию,"",Lookup
RemindingsCheckInterval,Notification monitor,"",Integer
RemoveProcessParameterInfo,Удалять ParameterInfo,,Boolean
ReportDecimalSeparator,Decimal symbol in Word printables,"",ShortText
RequestsCachingOptions,RequestsCachingOptions,"",MaxSizeText
RequestsCachingTtl,RequestsCachingTtl,"",Integer
RuMapCartographicServiceKey,Ключ к картографическому сервису RuMap,,SecureText
RunAgeActualizationDaily,Enable automatic daily update of the contact ages,"",Boolean
RunMobileSyncInService,Use separate service for mobile data synchronization,"",Boolean
RunProcessesInBackgroundOnFileImport,RunProcessInBackgroundOnFileImport,"",Boolean
S3FilePartSize,S3FilePartSize ,,Integer
SalesDashboardPrefix,SalesDashboardPrefix,Sales: ,Text
